ID_COULEUR;REF_COULEUR;LIBELLE_COULEUR
606;ARS 308;
607;ARS 309;
608;ARS 310;
609;ARS 311;
610;ARS 312;
611;ARS 313;
612;ARS 314;
613;ARS 315;
614;ARS 316;
615;ARS 316;
616;ARS 317;
617;ARS 318;
618;ARS 319;
619;ARS 320;
620;ARS 321;
621;ARS 322;
622;ARS 323;
623;ARS 324;
624;ARS 325;
625;ARS 326;
626;ARS 327;
627;ARS 328;
628;ARS 329;
629;ARS 330;
630;ARS 331;
631;ARS 332;
632;ARS 333;
633;ARS 334;
634;ARS 335;
635;ARS 336;
636;ARS 337;
637;ARS 338;
638;ARS 339;
639;ARS 340;
640;ARS 341;
641;ARS 342;
642;ARS 343;
643;ARS 344;
644;ARS 345;
645;ARS 346;
646;ARS 347;
647;ARS 348;
648;ARS 349;
650;ARS 350;
651;ARS 351;
652;ARS 352;
653;ARS 353;
654;ARS 354;
655;ARS 355;
656;ARS 356;
657;ARS 357;
658;ARS 358;
659;ARS 359;
660;ARS 360;
661;ARS 361;
662;ARS 362;
663;ARS 363;
664;ARS 364;
665;ARS 365;
666;ARS 366;
667;ARS 367;
668;ARS 368;
669;ARS 369;
670;ARS 370;
671;ARS 371;
672;ARS 372;
673;ARS 373;
674;ARS 374;
675;ARS 375;
676;ARS 376;
677;ARS 377;
678;ARS 378;
679;ARS 379;
680;ARS 380;
681;ARS 381;
682;ARS 382;
683;ARS 383;
684;ARS 384;
685;ARS 385;
686;ARS 386;
687;ARS 387;
688;ARS 388;
689;ARS 389;
690;ARS 390;
691;ARS 391;
692;ARS 392;
693;ARS 393;
694;ARS 394;
695;ARS 395;
696;ARS 396;
697;ARS 397;
698;ARS 398;
699;ARS 399;
700;ARS 400;
701;ARS 401;
702;ARS 402;
703;ARS 403;
704;ARS 404;
705;ARS 405;
706;ARS 406;
707;ARS 407;
708;ARS 408;
709;ARS 409;
710;ARS 410;
711;ARS 411;
712;ARS 412;
713;ARS 413;
714;ARS 414;
715;ARS 415;
716;ARS 416;
717;ARS 417;
718;ARS 418;
719;ARS 419;
720;ARS 420;
721;ARS 421;
722;ARS 422;
723;ARS 423;
724;ARS 424;
725;ARS 425;
726;ARS 426;
727;ARS 427;
728;ARS 428;
729;ARS 429;
730;ARS 430;
731;ARS 431;
732;ARS 432;
733;ARS 433;
734;ARS 434;
735;ARS 435;
736;ARS 436;
737;ARS 437;
738;ARS 438;
739;ARS 439;
740;ARS 440;
741;ARS 441;
742;ARS 442;
743;ARS 443;
744;ARS 444;
745;ARS 445;
746;ARS 446;
747;ARS 447;
748;ARS 448;
749;ARS 449;
750;ARS 450;
751;ARS 451;
752;ARS 452;
753;ARS 453;
754;ARS 454;
755;ARS 455;
756;ARS 456;
757;ARS 457;
758;ARS 458;
759;ARS 459;
760;ARS 460;
761;ARS 461;
762;ARS 462;
763;ARS 463;
764;ARS 464;
765;ARS 465;
766;ARS 466;
767;ARS 467;
768;ARS 468;
769;ARS 469;
770;ARS 470;
771;ARS 471;
772;ARS 472;
773;ARS 473;
774;ARS 474;
775;ARS 475;
776;ARS 476;
777;ARS 477;
778;ARS 478;
779;ARS 479;
780;ARS 480;
781;ARS 481;
782;ARS 482;
783;ARS 483;
784;ARS 484;
785;ARS 485;
786;ARS 486;
787;ARS 487;
788;ARS 488;
789;ARS 489;
790;ARS 490;
791;ARS 491;
792;ARS 492;
793;ARS 493;
794;ARS 494;
795;ARS 495;
796;ARS 496;
797;ARS 497;
798;ARS 498;
799;ARS 499;
800;ARS 500;
801;ARS 501;
802;ARS 502;
803;ARS 503;
804;ARS 504;
805;ARS 505;
806;ARS 506;
807;ARS 507;
808;ARS 508;
809;ARS 509;
810;ARS 510;
811;ARS 511;
812;ARS 512;
813;ARS 513;
814;ARS 514;
815;ARS 515;
816;ARS 516;
817;ARS 517;
818;ARS 518;
819;ARS 519;
820;ARS 520;
821;ARS 521;
822;ARS 522;
823;ARS 523;
824;ARS 524;
825;ARS 525;
826;ARS 526;
827;ARS 527;
828;ARS 528;
829;ARS 529;
830;ARS 530;
831;ARS 531;
832;ARS 532;
833;ARS 533;
834;ARS 534;
835;ARS 535;
836;ARS 536;
837;ARS 537;
838;ARS 538;
839;ARS 539;
840;ARS 540;
841;ARS 541;
842;ARS 542;
843;ARS 543;
844;ARS 544;
845;ARS 545;
846;ARS 546;
847;ARS 547;
848;ARS 548;
849;ARS 549;
850;ARS 550;
851;ARS 551;
852;ARS 552;
853;ARS 553;
854;ARS 554;
855;ARS 555;
856;ARS 556;
857;ARS 557;
858;ARS 558;
859;ARS 559;
860;ARS 560;
861;ARS 561;
862;ARS 562;
863;ARS 563;
864;ARS 564;
865;ARS 565;
866;ARS 566;
867;ARS 567;
868;ARS 568;
869;ARS 569;
870;ARS 570;
871;ARS 571;
872;ARS 572;
873;ARS 573;
874;ARS 574;
875;ARS 575;
876;ARS 576;
877;ARS 577;
878;ARS 578;
879;ARS 579;
880;ARS 580;
881;ARS 581;
882;ARS 582;
883;ARS 583;
884;ARS 584;
885;ARS 585;
886;ARS 586;
887;ARS 587;
888;ARS 588;
889;ARS 589;
890;ARS 590;
891;ARS 591;
892;ARS 592;
893;ARS 593;
894;ARS 594;
895;ARS 595;
896;ARS 596;
897;ARS 597;
898;ARS 598;
899;ARS 599;
900;ARS 600;
901;61r;
902;56r;
903;Y11r;
904;Y7r;
905;4Br;
906;Y14r;
907;P30Br;
908;D3r;
909;P14Ar;
910;RAV2r;
911;B8r;
912;7Fr;
913;D1r;
914;109r;
915;P15r;
916;ARG2r;
917;13Fr;
918;B10r;
919;33Br;
920;35r;
921;26r;
922;17Fr;
923;59r;
924;Xr;
925;142r;
926;112r;
927;8r;
928;105r;
929;B2BAr;
930;B2Ar;
931;P2r;
932;Y3Ar;
933;110r;
934;RAO2r;
935;ME13r;
936;P18r;
937;P7Br;
938;RAO3r;
939;P16r;
940;9r;
941;ARS 273;
942;17r;
