"ID_MODEL";"ID_COLLECTION";"REF_MODEL";"CODE_MODEL";"DESCRIPTION_FR";"DESCRIPTION_AN";"POLICE";"Gen_DESCRIPTION_AN";"Gen_DESCRIPTION_FR";"NUMERO_MAX";"REF_COLLECTION";"NUM_MAX";"REF_COLL";"Aen_DESCRIPTION_AN";"Aen_DESCRIPTION_FR"
2233;91;"autre";;;;;;;0;;0;;;
2234;26;"autre";;;;;;;0;;0;;;
2235;14;"autre";;;;;;;0;;0;;;
2236;79;"autre";;;;;;;0;;0;;;
2237;34;"autre";;;;;;;0;;0;;;
2238;35;"autre";;;;;;;0;;0;;;
2239;36;"autre";;;;;;;0;;0;;;
2240;37;"autre";;;;;;;0;;0;;;
2241;38;"autre";;;;;;;0;;0;;;
2242;30;"autre";;;;;;;0;;0;;;
2243;10;"autre";;;;;;;0;;0;;;
2244;87;"autre";;;;;;;0;;0;;;
2245;15;"autre";;;;;;;0;;0;;;
2246;42;"autre";;;;;;;0;;0;;;
2247;39;"autre";;;;;;;0;;0;;;
2248;41;"autre";;;;;;;0;;0;;;
2249;43;"autre";;;;;;;0;;0;;;
2250;40;"autre";;;;;;;0;;0;;;
2251;81;"autre";;;;;;;0;;0;;;
2252;16;"autre";;;;;;;0;;0;;;
2253;29;"autre";;;;;;;0;;0;;;
2254;17;"autre";;;;;;;0;;0;;;
2255;18;"autre";;;;;;;0;;0;;;
2256;3;"autre";;;;;;;0;;0;;;
2257;76;"autre";;;;;;;0;;0;;;
2258;52;"autre";;;;;;;0;;0;;;
2259;44;"autre";;;;;;;0;;0;;;
2260;61;"autre";;;;;;;0;;0;;;
2261;57;"autre";;;;;;;0;;0;;;
2262;56;"autre";;;;;;;0;;0;;;
2263;60;"autre";;;;;;;0;;0;;;
2264;75;"autre";;;;;;;0;;0;;;
2265;62;"autre";;;;;;;0;;0;;;
2266;63;"autre";;;;;;;0;;0;;;
2267;58;"autre";;;;;;;0;;0;;;
2268;67;"autre";;;;;;;0;;0;;;
2269;78;"autre";;;;;;;0;;0;;;
2270;88;"autre";;;;;;;0;;0;;;
2271;59;"autre";;;;;;;0;;0;;;
2272;19;"autre";;;;;;;0;;0;;;
2273;20;"autre";;;;;;;0;;0;;;
2274;28;"autre";;;;;;;0;;0;;;
2275;27;"autre";;;;;;;0;;0;;;
2276;50;"autre";;;;;;;0;;0;;;
2277;25;"autre";;;;;;;0;;0;;;
2278;80;"autre";;;;;;;0;;0;;;
2279;64;"autre";;;;;;;0;;0;;;
2280;55;"autre";;;;;;;0;;0;;;
2281;21;"autre";;;;;;;0;;0;;;
2282;92;"autre";;;;;;;0;;0;;;
2283;68;"37";;;;;;;0;;0;;;
2284;68;"36";;;;;;;0;;0;;;
2285;98;"01";;;;;;;0;;0;;;
2286;25;"71";;;;;;;0;;0;;;
2287;99;"01";;;;;;;0;;0;;;
2288;99;"02";;;;;;;0;;0;;;
2289;99;"03";;;;;;;0;;0;;;
2290;99;"04";;;;;;;0;;0;;;
2291;99;"05";;;;;;;0;;0;;;
2292;99;"06";;;;;;;0;;0;;;
2293;99;"07";;;;;;;0;;0;;;
2294;99;"08";;;;;;;0;;0;;;
2295;99;"09";;;;;;;0;;0;;;
2296;99;"10";;;;;;;0;;0;;;
2297;99;"14";;;;;;;0;;0;;;
2298;99;"15";;;;;;;0;;0;;;
2299;99;"19";;;;;;;0;;0;;;
2300;99;"17";;;;;;;0;;0;;;
2301;100;"01";;;;;;;0;;0;;;
2302;100;"02";;;;;;;0;;0;;;
2303;100;"03";;;;;;;0;;0;;;
2304;100;"04";;;;;;;0;;0;;;
2305;100;"05";;;;;;;0;;0;;;
2306;100;"06";;;;;;;0;;0;;;
2307;102;;;;;;;;0;;20;;;
2308;102;"01";;;;;;;0;;20;;;
2309;102;"02";;;;;;;0;;20;;;
2310;102;"03";;;;;;;0;;20;;;
2311;102;"05";;;;;;;0;;20;;;
2312;102;"06";;;;;;;0;;20;;;
2313;102;"07";;;;;;;0;;20;;;
2314;102;"04";;;;;;;0;;0;;;
2315;107;"Boundary Bend";;;;;;;0;;0;;;
2317;107;"Boundary Bend";;;;;;;0;;0;;;
2318;107;"Liji";;;;;;;0;;0;;;
2319;107;"Ikatu ( by day )";;;;;;;0;;0;;;
2320;107;"Noma";;;;;;;0;;0;;;
2321;107;"Vaska";;;;;;;0;;0;;;
2322;107;"Lineynaya";;;;;;;0;;0;;;
2323;107;;;;;;;;0;;0;;;
2324;108;"Luca";;;;;;;0;;0;;;
2325;108;"Livio";;;;;;;0;;0;;;
2326;108;"Flavio";;;;;;;0;;0;;;
2327;108;"Amos";;;;;;;0;;0;;;
2328;108;"Milo";;;;;;;0;;0;;;
2329;109;"Yvy";;;;;;;0;;0;;;
2330;109;"Tupa";;;;;;;0;;0;;;
2331;109;"Yoku";;;;;;;0;;0;;;
2332;109;"Horus";;;;;;;0;;0;;;
2333;109;"Calypso";;;;;;;0;;0;;;
2334;109;"Dédale";;;;;;;0;;0;;;
2335;109;"Uranie";;;;;;;0;;0;;;
2336;109;"Eos";;;;;;;0;;0;;;
2337;110;"Kitty";;;;;;;0;;0;;;
2338;110;"Joseph";;;;;;;0;;0;;;
2339;110;"Egon";;;;;;;0;;0;;;
2340;110;"Oskar";;;;;;;0;;0;;;
2341;110;"Otto";;;;;;;0;;0;;;
2342;110;"Koloman";;;;;;;0;;0;;;
2343;110;"Gustav";;;;;;;0;;0;;;
2344;110;"Gudrun";;;;;;;0;;0;;;
2345;111;"01";;;;;;;0;;0;;;
2346;111;"02";;;;;;;0;;0;;;
2347;111;"03";;;;;;;0;;0;;;
2348;111;"04";;;;;;;0;;0;;;
2349;111;"05";;;;;;;0;;0;;;
2350;111;"06";;;;;;;0;;0;;;
2351;111;"07";;;;;;;0;;0;;;
2352;112;"01";;;;;;;0;;0;;;
2353;112;"02";;;;;;;0;;0;;;
2354;112;"03";;;;;;;0;;0;;;
2355;113;"01";;;;;;;0;;0;;;
2356;113;"02";;;;;;;0;;0;;;
2357;113;"03";;;;;;;0;;0;;;
2358;96;"01";;;;;;;0;;0;;;
2359;96;"02";;;;;;;0;;0;;;
2360;96;"03";;;;;;;0;;0;;;
2361;93;"01";;;;;;;0;;0;;;
2362;93;"02";;;;;;;0;;0;;;
2363;93;"03";;;;;;;0;;0;;;
2364;114;"01";;;;;;;0;;0;;;
2365;114;"02";;;;;;;0;;0;;;
2366;114;"03";;;;;;;0;;0;;;
